,image domain,model,accuracy corr,accuracy corr std,human accuracy ceiling,model accuracy ceiling,dprime corr,dprime corr std,human dprime ceiling,model dprime ceiling,accnorm corr,accnorm corr std,dpnorm corr,dpnorm corr std
0,edges,alexnet,0.0337154963466782,0.0273486634654704,0.5956143677537183,1,-0.0193417179370649,0.0641413906470008,0.5510900158543656,1,0.04368647211386875,0.03543672059728011,-0.026054561847433662,0.08640265745940694
1,edges,resnet18,-0.0020738423655504,0.0222742411905255,0.5956143677537183,1,-0.0034045787881467,0.0627060847386058,0.5510900158543656,1,-0.0026871577312579994,0.028861595469981904,-0.0045861907866127155,0.0844692063212016
2,edges,resnet34,0.0103819210499662,0.0186555176171971,0.5956143677537183,1,0.0573831030073829,0.0408642180763633,0.5510900158543656,1,0.013452256486872724,0.02417267543011465,0.07729880102524099,0.05504678026440045
3,edges,resnet50,0.0111710819904818,0.0174335908644856,0.5956143677537183,1,-0.0037502331642872,0.0368653865134876,0.5510900158543656,1,0.014474802827780615,0.02258937769489443,-0.0050518098877852455,0.04966009203890639
4,edges,resnet101,0.0387403780252361,0.0271452818443713,0.5956143677537183,1,-0.0230252332796769,0.0448632701009158,0.5510900158543656,1,0.05019740557510601,0.035173191167748384,-0.031016498456287907,0.0604337654662237
5,edges,vgg11,-0.0385044774890803,0.0238930819363153,0.5956143677537183,1,-0.0277114393011071,0.0466945587053043,0.5510900158543656,1,-0.04989174013009967,0.030959190011392485,-0.037329125132597375,0.06290063125129992
6,edges,vgg13,-0.0200157094595857,0.0215325990845024,0.5956143677537183,1,-0.0175863462356796,0.0536764811072523,0.5510900158543656,1,-0.0259351285875891,0.02790062112008356,-0.02368996110680687,0.0723057383688501
7,edges,vgg16,0.0089194100193901,0.0268791488471235,0.5956143677537183,1,0.0115545148056441,0.0561684655137584,0.5510900158543656,1,0.011557224401432784,0.03482835235406763,0.01556468880377159,0.07566260470582276
8,edges,vgg19,-0.0070586063567571,0.0159889533630025,0.5956143677537183,1,-0.0104577744624619,0.0348347633863638,0.5510900158543656,1,-0.00914610915397742,0.02071750503212082,-0.014087307673770862,0.046924709585981175
9,edges,densenet121,0.0398760504596321,0.0404809347403836,0.5956143677537183,1,-0.050763938455048,0.0523622673346629,0.5510900158543656,1,0.051668940255348635,0.05245271220375631,-0.06838235250870757,0.07053540627476747
10,edges,densenet169,0.0418195601215279,0.0335070965002747,0.5956143677537183,1,0.0355100099086371,0.0450832769205342,0.5510900158543656,1,0.05418722086360106,0.04341644037579712,0.047834310911679334,0.060730129072975515
11,silhouette,alexnet,0.0963640547593086,0.0322862763264917,0.7179606087145742,1,0.1876111216345084,0.0541083622216431,0.4129089699833499,1,0.11372730746508877,0.03810374401385435,0.2919654226194879,0.08420487392035603
12,silhouette,resnet18,0.1606976335560669,0.0731958925601421,0.7179606087145742,1,0.1491742134686569,0.0752863531653959,0.4129089699833499,1,0.18965276239144122,0.08638461508454492,0.2321488827520288,0.11716262728942471
13,silhouette,resnet34,0.214119514647529,0.0632148274281767,0.7179606087145742,1,0.2258120139618579,0.0727801191504086,0.4129089699833499,1,0.25270040719454906,0.07460512255564163,0.3514146683551663,0.11326235918701115
14,silhouette,resnet50,0.2199660957367092,0.0589202531789234,0.7179606087145742,1,0.2027986158333982,0.0627226262601073,0.4129089699833499,1,0.2596004481570174,0.06953673510249428,0.3156006054576798,0.09761062097113984
15,silhouette,resnet101,0.1909919847162679,0.0673848466860252,0.7179606087145742,1,0.1749517461326681,0.0700826891022768,0.4129089699833499,1,0.22540566836303993,0.07952651221133028,0.2722645654086126,0.10906454672723825
16,silhouette,vgg11,0.1136674892835851,0.0432167335136403,0.7179606087145742,1,0.1669132290507853,0.062948688136887,0.4129089699833499,1,0.13414854257458722,0.051003693775845425,0.2597548111008798,0.09796242448266472
17,silhouette,vgg13,0.1925815314240356,0.0549125737273642,0.7179606087145742,1,0.2016013283934106,0.0640936184793513,0.4129089699833499,1,0.2272816258205789,0.06480693627504339,0.31373735486588394,0.09974419556529109
18,silhouette,vgg16,0.1034799554359916,0.0490977649605428,0.7179606087145742,1,0.1315044932299236,0.0595262890660979,0.4129089699833499,1,0.12212537898843327,0.057944392496382904,0.2046507936615526,0.09263639592758736
19,silhouette,vgg19,0.118555879987268,0.0471736508419225,0.7179606087145742,1,0.1760430771044952,0.0620474051823299,0.4129089699833499,1,0.1399177426560473,0.055673583961885126,0.2739629237235742,0.09655982395219274
20,silhouette,densenet121,0.2155022354131962,0.0586677116391361,0.7179606087145742,1,0.2075839543882648,0.0633187877379057,0.4129089699833499,1,0.25433227200190045,0.06923868963922652,0.32304767672603885,0.09853838333564378
21,silhouette,densenet169,0.1674699412418305,0.0597087116740725,0.7179606087145742,1,0.1523431802013682,0.0580361341336409,0.4129089699833499,1,0.19764533099340348,0.07046726113655596,0.23708051315497275,0.09031737714643587
22,cue-conflict,alexnet,0.1239003595746539,0.0207022751308923,0.6733969343574184,1,0.1544918222589708,0.0238959246014724,0.5373271842371,1,0.15098611110410906,0.02522798177302602,0.21075898064518522,0.03259901163013234
23,cue-conflict,resnet18,0.1449272948126599,0.0237738795486647,0.6733969343574184,1,0.1831049173307558,0.0239454380205668,0.5373271842371,1,0.1766097266523075,0.028971067002816823,0.24979319399224809,0.03266655823281983
24,cue-conflict,resnet34,0.1490962620159143,0.0221415221095825,0.6733969343574184,1,0.187584885312222,0.0241387804508235,0.5373271842371,1,0.18169006820660855,0.026981861301517928,0.2559048021750693,0.032930317523897766
25,cue-conflict,resnet50,0.1190269851427841,0.0202487078535665,0.6733969343574184,1,0.1738318862633042,0.0213878363719669,0.5373271842371,1,0.1450473724600225,0.024675260541525166,0.23714285077866903,0.029177457589992375
26,cue-conflict,resnet101,0.1703152871480987,0.0204978943632765,0.6733969343574184,1,0.2113329075868988,0.0222101715122978,0.5373271842371,1,0.2075477662562942,0.024978921500782104,0.288302044267017,0.03029929377129091
27,cue-conflict,vgg11,0.1501548683245074,0.0254748422894735,0.6733969343574184,1,0.2008582563639337,0.0245356428953755,0.5373271842371,1,0.18298009553399852,0.031043875752116402,0.2740124412182202,0.03347172044767149
28,cue-conflict,vgg13,0.1515911209860524,0.0226644720495766,0.6733969343574184,1,0.1914610246612693,0.0227340169504388,0.5373271842371,1,0.1847303261602377,0.02761913288017111,0.2611926625038477,0.031013927911427847
29,cue-conflict,vgg16,0.1623880250666351,0.0233968472430214,0.6733969343574184,1,0.2149765702087563,0.0234263071125572,0.5373271842371,1,0.19788753219811875,0.02851161198763264,0.29327275798356817,0.03195835569242835
30,cue-conflict,vgg19,0.1445938148892884,0.0265300280677391,0.6733969343574184,1,0.1844910468618705,0.0232746887025004,0.5373271842371,1,0.17620334496839624,0.032329734789972475,0.25168416299467344,0.03175151664371126
31,cue-conflict,densenet121,0.1607657132367272,0.0230040295787293,0.6733969343574184,1,0.22561124535149,0.0223681070322762,0.5373271842371,1,0.19591056816801522,0.028032920790060065,0.30778066694471773,0.03051475067193202
32,cue-conflict,densenet169,0.1186071800773836,0.0252677923247575,0.6733969343574184,1,0.1837161268323098,0.0226001373015902,0.5373271842371,1,0.14453579416869045,0.030791562771879444,0.2506270108870494,0.030831288222751198
