image domain,model,decoder num,human,kappa,human ceiling,model ceiling
edges,alexnet,0,subject-01,0.059929494712103466,0.31843643384059334,0.9560940575313351
edges,alexnet,0,subject-02,0.0010319917440660255,0.31843643384059334,0.9560940575313351
edges,alexnet,0,subject-03,0.007919966652772042,0.31843643384059334,0.9560940575313351
edges,alexnet,0,subject-04,0.020589872008903744,0.31843643384059334,0.9560940575313351
edges,alexnet,0,subject-05,0.02941808030921196,0.31843643384059334,0.9560940575313351
edges,alexnet,0,subject-06,-0.0087536473530637,0.31843643384059334,0.9560940575313351
edges,alexnet,0,subject-07,0.07657142857142861,0.31843643384059334,0.9560940575313351
edges,alexnet,0,subject-08,-0.009052995626080806,0.31843643384059334,0.9560940575313351
edges,alexnet,0,subject-09,0.061551200662434365,0.31843643384059334,0.9560940575313351
edges,alexnet,0,subject-10,0.028170489056445678,0.31843643384059334,0.9560940575313351
edges,alexnet,1,subject-01,0.05772495755517831,0.31843643384059334,0.9560940575313351
edges,alexnet,1,subject-02,0.0,0.31843643384059334,0.9560940575313351
edges,alexnet,1,subject-03,0.006622516556291397,0.31843643384059334,0.9560940575313351
edges,alexnet,1,subject-04,0.0176991150442478,0.31843643384059334,0.9560940575313351
edges,alexnet,1,subject-05,0.027303754266211556,0.31843643384059334,0.9560940575313351
edges,alexnet,1,subject-06,-0.009933774834437095,0.31843643384059334,0.9560940575313351
edges,alexnet,1,subject-07,0.07272727272727271,0.31843643384059334,0.9560940575313351
edges,alexnet,1,subject-08,-0.009693053311793296,0.31843643384059334,0.9560940575313351
edges,alexnet,1,subject-09,0.05286343612334798,0.31843643384059334,0.9560940575313351
edges,alexnet,1,subject-10,0.026622296173044877,0.31843643384059334,0.9560940575313351
edges,alexnet,2,subject-01,0.05340314136125656,0.31843643384059334,0.9560940575313351
edges,alexnet,2,subject-02,-0.002020202020202013,0.31843643384059334,0.9560940575313351
edges,alexnet,2,subject-03,0.00408163265306121,0.31843643384059334,0.9560940575313351
edges,alexnet,2,subject-04,0.012021857923497282,0.31843643384059334,0.9560940575313351
edges,alexnet,2,subject-05,0.023157894736842134,0.31843643384059334,0.9560940575313351
edges,alexnet,2,subject-06,-0.012244897959183666,0.31843643384059334,0.9560940575313351
edges,alexnet,2,subject-07,0.06516853932584267,0.31843643384059334,0.9560940575313351
edges,alexnet,2,subject-08,-0.01094527363184088,0.31843643384059334,0.9560940575313351
edges,alexnet,2,subject-09,0.035616438356164404,0.31843643384059334,0.9560940575313351
edges,alexnet,2,subject-10,0.02358974358974356,0.31843643384059334,0.9560940575313351
edges,alexnet,3,subject-01,0.059929494712103466,0.31843643384059334,0.9560940575313351
edges,alexnet,3,subject-02,0.0010319917440660255,0.31843643384059334,0.9560940575313351
edges,alexnet,3,subject-03,0.007919966652772042,0.31843643384059334,0.9560940575313351
edges,alexnet,3,subject-04,0.020589872008903744,0.31843643384059334,0.9560940575313351
edges,alexnet,3,subject-05,0.02941808030921196,0.31843643384059334,0.9560940575313351
edges,alexnet,3,subject-06,-0.0087536473530637,0.31843643384059334,0.9560940575313351
edges,alexnet,3,subject-07,0.07657142857142861,0.31843643384059334,0.9560940575313351
edges,alexnet,3,subject-08,-0.009052995626080806,0.31843643384059334,0.9560940575313351
edges,alexnet,3,subject-09,0.061551200662434365,0.31843643384059334,0.9560940575313351
edges,alexnet,3,subject-10,0.028170489056445678,0.31843643384059334,0.9560940575313351
edges,alexnet,4,subject-01,0.05772495755517831,0.31843643384059334,0.9560940575313351
edges,alexnet,4,subject-02,0.0,0.31843643384059334,0.9560940575313351
edges,alexnet,4,subject-03,0.006622516556291397,0.31843643384059334,0.9560940575313351
edges,alexnet,4,subject-04,0.0176991150442478,0.31843643384059334,0.9560940575313351
edges,alexnet,4,subject-05,0.027303754266211556,0.31843643384059334,0.9560940575313351
edges,alexnet,4,subject-06,-0.009933774834437095,0.31843643384059334,0.9560940575313351
edges,alexnet,4,subject-07,0.07272727272727271,0.31843643384059334,0.9560940575313351
edges,alexnet,4,subject-08,-0.009693053311793296,0.31843643384059334,0.9560940575313351
edges,alexnet,4,subject-09,0.05286343612334798,0.31843643384059334,0.9560940575313351
edges,alexnet,4,subject-10,0.026622296173044877,0.31843643384059334,0.9560940575313351
edges,alexnet,5,subject-01,0.05340314136125656,0.31843643384059334,0.9560940575313351
edges,alexnet,5,subject-02,-0.002020202020202013,0.31843643384059334,0.9560940575313351
edges,alexnet,5,subject-03,0.00408163265306121,0.31843643384059334,0.9560940575313351
edges,alexnet,5,subject-04,0.029508196721311507,0.31843643384059334,0.9560940575313351
edges,alexnet,5,subject-05,0.03999999999999997,0.31843643384059334,0.9560940575313351
edges,alexnet,5,subject-06,0.00408163265306121,0.31843643384059334,0.9560940575313351
edges,alexnet,5,subject-07,0.08314606741573032,0.31843643384059334,0.9560940575313351
edges,alexnet,5,subject-08,-0.01094527363184088,0.31843643384059334,0.9560940575313351
edges,alexnet,5,subject-09,0.05753424657534251,0.31843643384059334,0.9560940575313351
edges,alexnet,5,subject-10,0.02358974358974356,0.31843643384059334,0.9560940575313351
edges,alexnet,6,subject-01,0.05772495755517839,0.31843643384059334,0.9560940575313351
edges,alexnet,6,subject-02,0.0,0.31843643384059334,0.9560940575313351
edges,alexnet,6,subject-03,0.006622516556291433,0.31843643384059334,0.9560940575313351
edges,alexnet,6,subject-04,0.01769911504424788,0.31843643384059334,0.9560940575313351
edges,alexnet,6,subject-05,0.027303754266211556,0.31843643384059334,0.9560940575313351
edges,alexnet,6,subject-06,-0.009933774834437059,0.31843643384059334,0.9560940575313351
edges,alexnet,6,subject-07,0.07272727272727271,0.31843643384059334,0.9560940575313351
edges,alexnet,6,subject-08,-0.00969305331179326,0.31843643384059334,0.9560940575313351
edges,alexnet,6,subject-09,0.05286343612334806,0.31843643384059334,0.9560940575313351
edges,alexnet,6,subject-10,0.026622296173044877,0.31843643384059334,0.9560940575313351
edges,alexnet,7,subject-01,0.05772495755517831,0.31843643384059334,0.9560940575313351
edges,alexnet,7,subject-02,0.0,0.31843643384059334,0.9560940575313351
