Key,O1,O1_Std,I1,I1_Std,I1N,I1N_Std
edges,0.9998567232704414,6.0324305654441245e-05,0.9992834749089828,7.847628594655315e-05,0.998779724356714,0.00014345052040288457
silhouette,0.9998740721583431,3.291203360907576e-05,0.9992029986997963,0.00011169765881358353,0.9972706868974418,0.000390694355012689
cue-conflict,0.9998510032286247,4.918978858869144e-05,0.9982115925979148,0.00016318545283340095,0.9977644333073867,0.00021303654716447445
