model,plus20,plus50,plus90
alexnet,0.3184,0.1218,0.2092
resnet18,0.1372,0.2598,0.1054
resnet34,0.0818,0.1668,0.2656
resnet50,0.63,0.5974,0.456
resnet101,0.6172,0.674,0.5564
vgg11,0.3048,0.315,0.2574
vgg13,0.8814,0.8548,0.8398
vgg16,0.0676,0.2616,0.114
vgg19,0.429,0.2502,0.4666
densenet121,0.811,0.7698,0.597
densenet169,0.5776,0.6834,0.7944
