model,plus20,plus50,plus90
alexnet,0.0,0.006,0.0
resnet18,0.0002,0.0292,0.0
resnet34,0.0002,0.3128,0.005
resnet50,0.0,0.001,0.0004
resnet101,0.0,0.0004,0.0
vgg11,0.0,0.0,0.0
vgg13,0.0,0.0,0.0
vgg16,0.0,0.0,0.0
vgg19,0.0022,0.0542,0.0002
densenet121,0.0,0.0,0.0
densenet169,0.0,0.0002,0.0
