Epoch, Learning Rate, Mean Accuracy 
100, 0.05, 0.9074999690055847
100, 0.060000000000000005, 0.9112499952316284
100, 0.07, 0.9099999666213989
100, 0.08000000000000002, 0.9037500619888306
100, 0.09000000000000001, 0.9125000238418579
100, 0.1, 0.9074999690055847
200, 0.05, 0.9137499928474426
200, 0.060000000000000005, 0.9175000190734863
200, 0.07, 0.9149999618530273
200, 0.08000000000000002, 0.9137499928474426
200, 0.09000000000000001, 0.9150000810623169
200, 0.1, 0.9100000262260437
100, 0.01, 0.8400000333786011
100, 0.02, 0.8925000429153442
100, 0.03, 0.9037500619888306
100, 0.04, 0.9074999690055847
200, 0.01, 0.8462499380111694
200, 0.02, 0.9087499380111694
200, 0.03, 0.9037500619888306
200, 0.04, 0.9024999737739563
100, 0.1, 0.9087499380111694
100, 0.2, 0.9137499928474426
100, 0.30000000000000004, 0.9100000262260437
100, 0.4, 0.9112499952316284
100, 0.5, 0.9024999737739563
200, 0.1, 0.9112499952316284
200, 0.2, 0.9087499380111694
200, 0.30000000000000004, 0.9087499380111694
200, 0.4, 0.9100000262260437
200, 0.5, 0.9087499380111694
